,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,interest,jill,old,unaccept,steve,sound,hilari,doren,whole,sad,hilari,littl,happi,onli,excel,worthless,real,dond,nice,annoi,moral,first,incred,predict,attract,high,popular,special,thin,reckless,avail,next,late,possibl,nake,cranki,popular,complain,whole,inferior,scari,seagal,littl,wast,fantast,most,whole,predict,nice,central,greatest,differ,next,nasti,big,hard,long,middl,beauti,bore
,similar,regret,human,wonder,erot,italian,long,classic,amaz,low,whole,undi,few,worst,shipfight,young,comfort,vigil,much,white,priceless,dissimilar,larg,sure,rich,modern,real,interest,silli,outlandish,big,much,new,inferior,sure,hot,david,ugli,awesom,complain,awsom,svemu,special,major,interest,pretend,sure,least,fantast,horrif,favorit,complaint,excit,special,smart,low,fantast,onli,posit,dwnld
,most,complaint,much,big,mani,funni,beauti,mansfield,main,high,irish,dito,silent,faulti,cleverest,sure,correct,beetsm,avail,red,loyal,vece,creepi,oh,main,horribl,black,nasti,entertain,worthless,entertain,better,differ,worst,noir,redund,first,true,littl,garfield,nice,pro,power,sever,glad,inferior,entir,less,easi,gregori,hilari,troubl,true,onli,evil,littl,onli,few,awesom,neat
,worth,most,perfect,impression,clear,wast,satisfi,old,western,sever,outstand,lida,music,high,human,human,white,more,recommend,enough,download,equival,jame,divers,charm,grip,interest,sever,impress,greatest,much,worst,decent,true,most,junk,cheesi,better,le,mess,attract,junk,sweet,poor,fabul,militari,happi,unbeliev,differ,upset,impress,hilari,difficult,fake,mb,evil,dark,last,amaz,full
,strong,classic,handsom,littl,audio,violent,posit,origin,better,wors,terrif,lent,simpl,sweet,much,fast,fortun,protai,amaz,sure,earli,rude,english,complaint,right,typic,second,jerri,most,complain,enjoy,previou,beauti,overal,recommend,origin,better,cheesi,main,kaela,cool,least,differ,whole,richard,mess,posit,troubl,higher,live,possibl,big,interest,d,special,young,brilliant,whole,glad,fine
,inspir,inferior,few,junk,high,scari,fast,most,perfect,enough,correct,manipulaci,satisfi,lawrenc,few,differ,quick,fake,unabl,sexual,attract,real,full,clyde,wonder,dirtnow,british,few,glad,special,such,funni,loyal,nasti,paul,complaint,disnei,junk,timeless,terrif,martial,sure,better,disappoint,funni,friendli,enjoy,youtub,awesom,last,modern,own,high,old,entertain,abl,next,hate,simpl,wonder
,expens,true,deep,differ,littl,steve,most,bore,short,funni,abl,envolvimiento,special,funni,buffi,evil,phil,jami,militari,evil,singl,fine,same,nasti,fabul,pickl,enjoy,horribl,more,dumb,least,such,whole,big,onli,sexi,pleasant,seriou,satisfi,complaint,recomend,texa,origin,univers,superb,big,sever,fake,popular,earli,such,upset,excel,slow,cool,interest,support,johnni,inspir,neg
,satisfi,mess,first,interest,avail,digit,correct,last,import,small,glad,toni,glad,guilti,late,most,dark,onli,import,overal,white,mani,realist,old,slow,juiciest,audio,realist,beauti,unaccept,main,mess,intellig,onli,special,much,fantast,interest,predict,shadi,correct,singapor,famou,old,southern,regret,french,michael,intrigu,sad,real,other,classic,regret,suspens,michel,last,major,romant,true
,onli,unaccept,sexi,villin,disturb,decent,challeng,crazi,impress,second,new,observaci,mighti,nasti,sure,more,superior,kiewslowski,entir,short,full,abrupt,militari,evil,sweet,hook,few,fine,special,old,reason,origin,true,terribl,rare,long,male,upset,differ,abl,crazi,littl,happi,disturb,happi,fast,high,funni,full,old,same,mad,superb,least,slow,sorri,top,full,entir,upset
,better,sure,earli,avail,hammer,most,fortun,cool,nice,horribl,spectacular,rodaj,sever,own,more,whole,beauti,real,beauti,complain,superb,black,earli,same,soft,loveabl,power,inferior,excel,inferior,hard,sure,awesom,new,moodi,video,fine,few,onli,convinc,posit,ridicul,full,appar,most,martial,slow,true,act,whole,histor,run,littl,inferior,differ,big,famou,problem,origin,complain
